filename,pytesseract_predicted_result,paddleocr_ocr_predicted_result
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_12.jpg,9,
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_13.jpg,196,190
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_14.jpg,,508
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_15.jpg,344,3
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_16.jpg,355,355
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_17.jpg,446,
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_18.jpg,,
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_19.jpg,334,33.4
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_20.jpg,1,
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_21.jpg,,
1b411d6c-OUTSIDE8_2024-10-08-1348-OUTSIDE-8_crop_10.jpg,"4
708",70
1b411d6c-OUTSIDE8_2024-10-08-1348-OUTSIDE-8_crop_11.jpg,,
1b411d6c-OUTSIDE8_2024-10-08-1348-OUTSIDE-8_crop_12.jpg,143,143
1b411d6c-OUTSIDE8_2024-10-08-1348-OUTSIDE-8_crop_13.jpg,20,
1b411d6c-OUTSIDE8_2024-10-08-1348-OUTSIDE-8_crop_14.jpg,703,703
1b411d6c-OUTSIDE8_2024-10-08-1348-OUTSIDE-8_crop_15.jpg,376,376
1b411d6c-OUTSIDE8_2024-10-08-1348-OUTSIDE-8_crop_16.jpg,7,70
1b411d6c-OUTSIDE8_2024-10-08-1348-OUTSIDE-8_crop_17.jpg,700,100
1b411d6c-OUTSIDE8_2024-10-08-1348-OUTSIDE-8_crop_18.jpg,,
1b411d6c-OUTSIDE8_2024-10-08-1348-OUTSIDE-8_crop_19.jpg,05,
1b411d6c-OUTSIDE8_2024-10-08-1348-OUTSIDE-8_crop_20.jpg,5,547
1b411d6c-OUTSIDE8_2024-10-08-1348-OUTSIDE-8_crop_21.jpg,,376
1b411d6c-OUTSIDE8_2024-10-08-1348-OUTSIDE-8_crop_22.jpg,143,143
1b411d6c-OUTSIDE8_2024-10-08-1348-OUTSIDE-8_crop_23.jpg,4120,420
1b411d6c-OUTSIDE8_2024-10-08-1348-OUTSIDE-8_crop_24.jpg,5,543
1b411d6c-OUTSIDE8_2024-10-08-1348-OUTSIDE-8_crop_26.jpg,,471
1b411d6c-OUTSIDE8_2024-10-08-1348-OUTSIDE-8_crop_6.jpg,,
1b411d6c-OUTSIDE8_2024-10-08-1348-OUTSIDE-8_crop_8.jpg,,
1bed8a4b-OUTSIDE2_2024-10-05-1321-OUTSIDE-2_4_crop_2.jpg,,
1bed8a4b-OUTSIDE2_2024-10-05-1321-OUTSIDE-2_4_crop_3.jpg,08,08
1bed8a4b-OUTSIDE2_2024-10-05-1321-OUTSIDE-2_4_crop_4.jpg,226,226
1bed8a4b-OUTSIDE2_2024-10-05-1321-OUTSIDE-2_4_crop_5.jpg,225,226
1c8b1827-OUTSIDE10_2024-09-02-1521-OUTSIDE-10_crop_10.jpg,478,478
1c8b1827-OUTSIDE10_2024-09-02-1521-OUTSIDE-10_crop_11.jpg,558,558
1c8b1827-OUTSIDE10_2024-09-02-1521-OUTSIDE-10_crop_12.jpg,446,
1c8b1827-OUTSIDE10_2024-09-02-1521-OUTSIDE-10_crop_13.jpg,,2
1c8b1827-OUTSIDE10_2024-09-02-1521-OUTSIDE-10_crop_14.jpg,855,355
1c8b1827-OUTSIDE10_2024-09-02-1521-OUTSIDE-10_crop_15.jpg,,638
1c8b1827-OUTSIDE10_2024-09-02-1521-OUTSIDE-10_crop_16.jpg,19,190
1c8b1827-OUTSIDE10_2024-09-02-1521-OUTSIDE-10_crop_17.jpg,342,
1c8b1827-OUTSIDE10_2024-09-02-1521-OUTSIDE-10_crop_18.jpg,,
1c8b1827-OUTSIDE10_2024-09-02-1521-OUTSIDE-10_crop_19.jpg,3,334
1e3f347f-INSIDE2_2024-10-30-1354-INSIDE-2_2_crop_2.jpg,4,52
204dc734-INSIDE12_2024-10-02-1345-INSIDE-12_crop_12.jpg,"4 1
2",
204dc734-INSIDE12_2024-10-02-1345-INSIDE-12_crop_13.jpg,295,295
204dc734-INSIDE12_2024-10-02-1345-INSIDE-12_crop_14.jpg,62,462
204dc734-INSIDE12_2024-10-02-1345-INSIDE-12_crop_15.jpg,22,122
204dc734-INSIDE12_2024-10-02-1345-INSIDE-12_crop_16.jpg,"3
35",588
204dc734-INSIDE12_2024-10-02-1345-INSIDE-12_crop_17.jpg,9,90
204dc734-INSIDE12_2024-10-02-1345-INSIDE-12_crop_18.jpg,5838,588
204dc734-INSIDE12_2024-10-02-1345-INSIDE-12_crop_19.jpg,430,430
204dc734-INSIDE12_2024-10-02-1345-INSIDE-12_crop_20.jpg,456,496
204dc734-INSIDE12_2024-10-02-1345-INSIDE-12_crop_21.jpg,20,
204dc734-INSIDE12_2024-10-02-1345-INSIDE-12_crop_22.jpg,10,210
204dc734-INSIDE12_2024-10-02-1345-INSIDE-12_crop_23.jpg,206,206
204dc734-INSIDE12_2024-10-02-1345-INSIDE-12_crop_24.jpg,22,122
204dc734-INSIDE12_2024-10-02-1345-INSIDE-12_crop_25.jpg,90,90
204dc734-INSIDE12_2024-10-02-1345-INSIDE-12_crop_26.jpg,7,
204dc734-INSIDE12_2024-10-02-1345-INSIDE-12_crop_27.jpg,1525,G25
204dc734-INSIDE12_2024-10-02-1345-INSIDE-12_crop_28.jpg,7,
204dc734-INSIDE12_2024-10-02-1345-INSIDE-12_crop_29.jpg,,
23021b45-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_3_crop_13.jpg,709,0
23021b45-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_3_crop_14.jpg,709,007
23021b45-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_3_crop_16.jpg,,60
23021b45-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_3_crop_17.jpg,40,
23021b45-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_3_crop_18.jpg,,
23021b45-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_3_crop_19.jpg,,
23021b45-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_3_crop_20.jpg,,
23021b45-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_3_crop_22.jpg,,62
23021b45-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_3_crop_9.jpg,52,51A
23cec47e-INSIDE4_2024-10-28-1413-INSIDE-4_crop_4.jpg,4,
23cec47e-INSIDE4_2024-10-28-1413-INSIDE-4_crop_5.jpg,4,581
