pytesseract_predicted_result,paddleocr_ocr_predicted_result,trocr_predicted_result,filename
43,,143,2024-09-02-1521-OUTSIDE-11_crop_13.jpg
5,,10151,2024-09-02-1521-OUTSIDE-11_crop_15.jpg
2,,501,2024-09-02-1521-OUTSIDE-11_crop_16.jpg
13716,,376,2024-09-02-1521-OUTSIDE-11_crop_17.jpg
14016,,4106,2024-09-02-1521-OUTSIDE-11_crop_18.jpg
2,,23,2024-09-02-1521-OUTSIDE-11_crop_19.jpg
13548,,35,2024-09-02-1521-OUTSIDE-11_crop_20.jpg
,,640,2024-09-02-1521-OUTSIDE-11_crop_22.jpg
,,1450,2024-09-02-1521-OUTSIDE-11_crop_23.jpg
,,110,2024-09-02-1521-OUTSIDE-11_crop_25.jpg
,,40,2024-09-02-1521-OUTSIDE-11_crop_27.jpg
,,,2024-09-02-1521-OUTSIDE-11_crop_28.jpg
,,406,2024-09-02-1521-OUTSIDE-11_crop_8.jpg
709,,709,2024-09-02-1521-OUTSIDE-14 (2)_crop_11.jpg
4,,54,2024-09-02-1521-OUTSIDE-14 (2)_crop_12.jpg
57,,57,2024-09-02-1521-OUTSIDE-14 (2)_crop_13.jpg
32,,531,2024-09-02-1521-OUTSIDE-14 (2)_crop_14.jpg
2910,,290,2024-09-02-1521-OUTSIDE-14 (2)_crop_15.jpg
,,562,2024-09-02-1521-OUTSIDE-14 (2)_crop_16.jpg
14510,,450,2024-09-02-1521-OUTSIDE-14 (2)_crop_17.jpg
4712,,473,2024-09-02-1521-OUTSIDE-14 (2)_crop_18.jpg
13153,353,,2024-09-02-1521-OUTSIDE-14 (2)_crop_20.jpg
12135,,2351,2024-09-02-1521-OUTSIDE-14 (2)_crop_21.jpg
54,,54,2024-09-02-1521-OUTSIDE-14 (2)_crop_22.jpg
3,,,2024-09-02-1521-OUTSIDE-14 (2)_crop_25.jpg
25,,352,2024-09-02-1521-OUTSIDE-1_crop_1.jpg
525,525,525,2024-09-02-1521-OUTSIDE-2_crop_2.jpg
176,176,176,2024-09-02-1521-OUTSIDE-2_crop_3.jpg
54,54,54,2024-09-02-1521-OUTSIDE-4 (2)_crop_10.jpg
2,,245,2024-09-02-1521-OUTSIDE-4 (2)_crop_4.jpg
703,703,703,2024-09-02-1521-OUTSIDE-4 (2)_crop_5.jpg
473,473,473,2024-09-02-1521-OUTSIDE-4 (2)_crop_6.jpg
473,473,473,2024-09-02-1521-OUTSIDE-4 (2)_crop_7.jpg
703,703,703,2024-09-02-1521-OUTSIDE-4 (2)_crop_8.jpg
255,,2455,2024-09-02-1521-OUTSIDE-4 (2)_crop_9.jpg
5,,1500,2024-09-02-1521-OUTSIDE-4 (3)_crop_10.jpg
6015,5015,5015,2024-09-02-1521-OUTSIDE-4 (3)_crop_11.jpg
640,640,640,2024-09-02-1521-OUTSIDE-4 (3)_crop_4.jpg
17,17,17,2024-09-02-1521-OUTSIDE-4 (3)_crop_5.jpg
50115,501,5015,2024-09-02-1521-OUTSIDE-4 (3)_crop_6.jpg
,,406,2024-09-02-1521-OUTSIDE-4 (3)_crop_7.jpg
